"","TAGA","TAGB","MeetingTree","MeetingDate","prop_A_vis_B","prop_A_first","n_shared_trees","n_shared_new_trees","A_future_trees","min_nights","A_future_species"
"25","4429","4440","Ficus carica_733",2018-04-18,0,0.67,3,0,4,"yes","c(""Palm"", ""Mulberry"", ""Ficus carica"", ""Carob"", ""UK"")"
"26","4454","4440","None",2018-05-04,0,0,2,0,1,"yes","c(""Mulberry"", ""Palm"", ""UK"", ""Ficus carica"")"
"27","4424","4440","None",2018-05-04,0,0,5,0,22,"yes","c(""UK"", ""Mulberry"", ""Ficus carica"", ""Einan"", ""Peach"")"
"28","4449","4440","None",2018-05-05,0,0,3,0,11,"yes","c(""Mulberry"", ""Ficus carica"", ""UK"")"
"29","4453","4440","None",2018-05-04,0,0,1,0,5,"yes","c(""Mulberry"", ""UK"", ""Ficus carica"")"
"30","4419","4440","None",2018-05-11,0,0,1,0,15,"yes","c(""UK"", ""Ficus carica"", ""Mulberry"", ""Eucalyptus"", ""Plum"", ""Citrus"")"
"31","4408","4441","Mulberry_734",2018-05-22,0,0,1,0,2,"yes","c(""Mulberry"", ""UK"", ""Ficus carica"")"
"32","4448","4441","Mulberry_734",2018-05-25,0,0,1,0,6,"yes","c(""Mulberry"", ""UK"")"
"33","4445","4442","None",2018-04-19,0,0.5,2,0,18,"no","c(""UK"", ""Palm"", ""Mulberry"", ""Ficus carica"", ""Loquat"", ""Melia azedarach"", ""Washingtonia"", ""Carob"", ""Annona"", ""Banana"", ""Cherry plum"", ""Ficus sycomorus"")"
"34","4444","4442","None",2018-04-21,0.06,0,2,1,16,"no","c(""Ficus carica"", ""Citrus"", ""Carob"", ""Annona"", ""Washingtonia"", ""Melia azedarach"", ""UK"", ""Mulberry"", ""Loquat"", ""Palm"", ""Ficus benjamina"")"
"35","4442","4444","None",2018-04-21,0,1,2,0,7,"yes","c(""Mulberry"", ""Ficus carica"", ""UK"", ""Washingtonia"", ""Ficus benjamina"", ""Loquat"", ""Palm"", ""Cherry plum"", ""Melia azedarach"")"
"36","4445","4444","None",2018-04-19,0.11,0.5,8,2,18,"yes","c(""UK"", ""Palm"", ""Mulberry"", ""Ficus carica"", ""Loquat"", ""Melia azedarach"", ""Washingtonia"", ""Carob"", ""Annona"", ""Banana"", ""Cherry plum"", ""Ficus sycomorus"")"
"37","4440","4444","None",2018-04-18,0,0.17,6,0,11,"yes","c(""Mulberry"", ""Ficus carica"", ""Carob"", ""Plum"", ""UK"", ""Avocado"", ""Eucalyptus"")"
"38","4429","4444","Mulberry_755",2018-04-25,0,1,1,0,6,"yes","c(""Mulberry"", ""UK"")"
"39","4442","4445","None",2018-04-19,0.05,0.5,2,1,21,"no","c(""Mulberry"", ""Ficus benjamina"", ""Loquat"", ""Ficus carica"", ""Cherry plum"", ""Annona"", ""UK"", ""Palm"", ""Washingtonia"", ""Melia azedarach"")"
"40","4444","4445","None",2018-04-19,0.2,0.5,8,3,15,"yes","c(""Ficus carica"", ""Carob"", ""Melia azedarach"", ""Mulberry"", ""Washingtonia"", ""Citrus"", ""Annona"", ""UK"", ""Loquat"", ""Palm"")"
"41","4440","4445","None",2018-04-19,0,0.25,4,0,12,"yes","c(""Mulberry"", ""UK"", ""Ficus carica"", ""Avocado"", ""Eucalyptus"")"
"42","4432","4446","Mulberry_655",2018-06-11,0,0,1,0,2,"yes","Mulberry"
"43","4455","4446","Mulberry_655",2018-06-07,0,0,1,0,7,"yes","c(""Mulberry"", ""Ficus carica"", ""UK"")"
"44","4439","4446","Mulberry_655",2018-06-07,0,1,1,0,2,"yes","c(""Mulberry"", ""UK"")"
"45","4441","4448","Mulberry_734",2018-05-25,0,1,1,0,1,"yes","c(""Mulberry"", ""UK"")"
"46","4440","4449","None",2018-05-05,0,1,3,0,5,"yes","c(""Mulberry"", ""UK"", ""Avocado"")"
"47","4429","4449","Mulberry_755",2018-05-05,0,1,2,0,5,"no","c(""UK"", ""Mulberry"")"
"48","4424","4449","Mulberry_706",2018-05-09,0,1,2,0,7,"yes","c(""UK"", ""Ficus carica"", ""Mulberry"")"
"49","4452","4449","Mulberry_734",2018-05-10,0,0,1,0,12,"yes","c(""UK"", ""Mulberry"", ""Plum"", ""Loquat"", ""Cherry plum"", ""Melia azedarach"")"
"50","4453","4449","Mulberry_734",2018-05-05,0,1,1,0,8,"yes","c(""Mulberry"", ""UK"", ""Ficus carica"")"
"51","4449","4452","Mulberry_734",2018-05-10,0,1,1,0,11,"yes","c(""Mulberry"", ""UK"", ""Ficus carica"", ""Plum"")"
"52","4453","4452","Mulberry_734",2018-05-07,0.08,0.5,2,1,12,"yes","c(""Mulberry"", ""UK"", ""Ficus carica"")"
"53","4440","4453","None",2018-05-04,0,1,1,0,4,"no","c(""Mulberry"", ""UK"", ""Ficus carica"", ""Avocado"")"
"54","4449","4453","Mulberry_734",2018-05-05,0,0,1,0,11,"yes","c(""Mulberry"", ""Ficus carica"", ""UK"")"
"55","4452","4453","Mulberry_734",2018-05-07,0,0.5,2,0,19,"yes","c(""UK"", ""Mulberry"", ""Plum"", ""Loquat"", ""Cherry plum"", ""Melia azedarach"")"
"56","4419","4453","None",2018-05-11,0,0,1,0,15,"no","c(""UK"", ""Ficus carica"", ""Mulberry"", ""Eucalyptus"", ""Plum"", ""Citrus"")"
"57","4440","4454","None",2018-05-04,0,1,2,0,4,"no","c(""Mulberry"", ""UK"", ""Ficus carica"", ""Avocado"")"
"58","4424","4454","Mulberry_731",2018-05-04,0,0,1,0,22,"no","c(""UK"", ""Mulberry"", ""Ficus carica"", ""Einan"", ""Peach"")"
"59","4432","4455","Mulberry_655",2018-06-11,0,0,1,0,2,"yes","Mulberry"
"60","4446","4455","Mulberry_655",2018-06-07,0,1,1,0,1,"yes","c(""Mulberry"", ""UK"")"
"61","4439","4455","Mulberry_655",2018-06-07,0,1,1,0,2,"yes","c(""Mulberry"", ""UK"")"
"62","4579","4576","None",2018-03-14,0,0,1,0,14,"no","c(""UK"", ""Melia azedarach"")"
"63","4577","4576","None",2018-03-17,0,0,2,0,37,"yes","c(""UK"", ""Ficus carica"", ""Melia azedarach"", ""Loquat"", ""Mulberry"", ""Washingtonia"", ""Avocado"", ""Palm"", ""Cherry plum"")"
"64","4579","4577","None",2018-03-16,0,1,3,0,3,"yes","UK"
"65","4577","4579","None",2018-03-16,0.05,0,3,2,41,"no","c(""Loquat"", ""Melia azedarach"", ""Mulberry"", ""Palm"", ""UK"", ""Ficus carica"", ""Washingtonia"", ""Avocado"", ""Cherry plum"")"
"66","5017","4978","None",2018-06-30,0,1,1,0,5,"no","c(""Ficus"", ""Avocado"", ""UK"")"
"67","5018","4978","unknown_94",2018-06-28,0,0.5,2,0,20,"no","c(""UK"", ""Plum"", ""Ficus religiosa"", ""Ficus carica"", ""Mulberry"", ""Loquat"", ""Melia azedarach"", ""Palm"", ""Ficus sycomorus"")"
"68","5013","4978","None",2018-06-30,0,1,1,0,21,"no","c(""Ficus carica"", ""Ficus religiosa"", ""Mulberry"", ""UK"", ""Plum"", ""Melia azedarach"", ""Carob"")"
"69","5016","4978","None",2018-06-30,0,1,1,0,21,"no","c(""UK"", ""Plum"", ""Melia azedarach"", ""Mulberry"", ""Ficus religiosa"", ""Ficus carica"")"
"70","5019","4978","None",2018-06-30,0,1,1,0,9,"no","c(""Ficus carica"", ""UK"", ""Plum"", ""Mulberry"", ""Ficus religiosa"", ""Washingtonia"")"
"71","5022","5011","None",2018-07-02,0,1,1,0,4,"yes","c(""Ficus carica"", ""UK"", ""Ficus religiosa"", ""Loquat"", ""Mulberry"")"
"72","5018","5011","None",2018-07-03,0,1,1,0,4,"yes","c(""UK"", ""Mulberry"", ""Ficus carica"", ""Ficus sycomorus"", ""Ficus religiosa"", ""Melia azedarach"")"
"73","5015","5011","None",2018-07-03,0,1,2,0,11,"yes","c(""UK"", ""Ficus carica"", ""Mulberry"", ""Avocado"")"
"74","4978","5013","None",2018-06-30,0,0,1,0,11,"yes","c(""Mulberry"", ""UK"", ""Plum"", ""Ficus carica"")"
"75","5017","5013","unknown_331",2018-06-28,0,0.5,2,0,11,"yes","c(""UK"", ""Ficus religiosa"", ""Mulberry"", ""Ficus"", ""Avocado"", ""Plum"", ""Ficus sycomorus"")"
"76","5022","5013","Ficus religiosa_19",2018-06-30,0.1,1,4,1,10,"yes","c(""Ficus carica"", ""Melia azedarach"", ""Ficus religiosa"", ""UK"", ""Mulberry"", ""Carob"", ""Loquat"")"
"77","5018","5013","unknown_331",2018-06-28,0,0.8,5,0,20,"yes","c(""UK"", ""Plum"", ""Ficus religiosa"", ""Ficus carica"", ""Mulberry"", ""Loquat"", ""Melia azedarach"", ""Palm"", ""Ficus sycomorus"")"
"78","5016","5013","Ficus religiosa_17",2018-06-29,0,0.5,6,0,20,"yes","c(""Melia azedarach"", ""Ficus religiosa"", ""Plum"", ""Ficus carica"", ""UK"", ""Mulberry"")"
"79","5021","5013","Ficus religiosa_19",2018-06-30,0,1,1,0,19,"no","c(""Ficus religiosa"", ""UK"", ""Melia azedarach"", ""Plum"", ""Ficus carica"", ""Mulberry"")"
"80","5015","5013","None",2018-06-29,0,0.4,5,0,13,"yes","c(""Ficus carica"", ""Mulberry"", ""Plum"", ""UK"", ""Melia azedarach"", ""Tipuana Tipu"")"
"81","5019","5013","Ficus religiosa_17",2018-06-29,0.06,0.5,4,1,17,"yes","c(""Ficus carica"", ""UK"", ""Ficus religiosa"", ""Melia azedarach"", ""Ficus sycomorus"", ""Plum"", ""Mulberry"", ""Washingtonia"")"
"82","5017","5015","None",2018-06-29,0,0,1,0,2,"no","c(""UK"", ""Ficus"", ""Avocado"", ""Ficus religiosa"", ""Plum"", ""Ficus sycomorus"")"
"83","5022","5015","None",2018-06-28,0,0,3,0,17,"no","c(""Plum"", ""UK"", ""Ficus religiosa"", ""Ficus carica"", ""Ficus sycomorus"", ""Washingtonia"", ""Carob"", ""Mulberry"", ""Melia azedarach"", ""Loquat"")"
"84","5011","5015","None",2018-07-03,0,0,2,0,4,"yes","c(""Mulberry"", ""UK"", ""Ficus carica"", ""Melia azedarach"", ""Ceratonia siliqua"")"
