"","TAGA","TAGB","MeetingTree","MeetingDate","prop_A_vis_B","prop_A_first","n_shared_trees","n+shared_new_trees","A_future_trees","min_nights"
"111","5013","5019","Ficus religiosa_17",2018-06-29,0.12,0.5,4,3,25,"yes"
"112","5016","5019","Ficus religiosa_17",2018-06-29,0.05,0.5,4,1,19,"yes"
"113","5021","5019","Ficus religiosa_19",2018-06-28,0,0.5,2,0,17,"yes"
"114","5015","5019","Ficus carica_1045",2018-06-29,0,1,4,0,12,"yes"
"115","5022","5021","Ficus religiosa_19",2018-06-28,0.06,0.33,3,1,16,"yes"
"116","5018","5021","Ficus religiosa_19",2018-06-28,0,0.33,3,0,15,"yes"
"117","5013","5021","Ficus religiosa_19",2018-06-30,0,0,1,0,18,"yes"
"118","5016","5021","Ficus religiosa_19",2018-07-01,0,0,2,0,19,"yes"
"119","5015","5021","None",2018-06-28,0,0.67,3,0,10,"yes"
"120","5019","5021","Ficus religiosa_19",2018-06-28,0,0.5,2,0,15,"yes"
"121","5017","5022","None",2018-06-29,0,0,1,0,2,"no"
"122","5011","5022","None",2018-07-02,0,0,1,0,8,"yes"
"123","5018","5022","Ficus religiosa_19",2018-06-28,0.13,0.14,7,2,15,"yes"
"124","5013","5022","Ficus religiosa_19",2018-06-30,0,0,4,0,18,"yes"
"125","5016","5022","unknown_1091",2018-06-28,0.05,0,3,1,21,"yes"
"126","5021","5022","Ficus religiosa_19",2018-06-28,0.06,0.67,3,1,17,"yes"
"127","5015","5022","None",2018-06-28,0,1,3,0,10,"yes"
"128","5019","5022","Ficus religiosa_19",2018-06-28,0.13,0.2,5,2,15,"yes"
"129","5462","5056","Melia azedarach_437",2018-11-25,0,0.67,3,0,18,"yes"
"130","5471","5056","None",2018-11-25,0,0.5,2,0,19,"yes"
"131","5473","5056","None",2018-11-23,0.04,0.6,5,1,25,"yes"
"132","5486","5056","None",2018-11-29,0.12,0.75,4,1,8,"yes"
"133","5483","5056","None",2018-11-25,0,0.75,4,0,9,"yes"
"134","5425","5056","Melia azedarach_437",2018-11-25,0,0.5,2,0,10,"yes"
"135","5589","5056","Melia azedarach_437",2018-11-25,0.11,0.33,9,1,9,"yes"
"136","5590","5058","None",2019-01-10,0.05,0.75,4,1,21,"yes"
