"","TAGA","TAGB","MeetingTree","MeetingDate","prop_A_vis_B","prop_A_first","n_shared_trees","n_shared_new_trees","A_future_trees","min_nights","A_future_species"
"160","6125","5741","None",2019-06-30,0,0,1,0,1,"yes","Palm"
"161","5748","5741","None",2019-09-06,0,0,1,0,1,"yes","Carob"
"162","5599","5741","None",2019-09-26,0,0,1,0,1,"yes","Palm"
"163","6125","5742","None",2019-06-26,0,0.67,6,0,1,"yes","c(""Ficus religiosa"", ""Palm"")"
"164","5751","5743","None",2019-10-02,0,1,4,0,1,"yes","Palm"
"165","5745","5743","None",2019-09-26,0,0,3,0,2,"yes","c(""Ficus religiosa"", ""Palm"")"
"166","5685","5743","None",2019-09-24,0,0.55,11,0,4,"yes","c(""Palm"", ""Ficus religiosa"", ""Carob"")"
"167","5771","5744","None",2019-11-06,0,0.5,2,0,2,"yes","c(""Carob"", ""Ficus sycomorus"")"
"168","6026","5744","None",2019-11-08,0.33,0.8,5,1,3,"yes","c(""Palm"", ""Ficus religiosa"", ""Carob"")"
"169","5667","5744","unknown_3641",2019-11-06,0,0.64,11,0,1,"yes","Ficus religiosa"
"170","5778","5744","None",2019-11-09,0,0.33,9,0,2,"yes","Palm"
"171","5685","5745","None",2019-09-24,0,0.64,11,0,4,"yes","c(""Palm"", ""Ficus religiosa"", ""Carob"")"
"172","5770","5745","None",2019-11-07,0,0,2,0,1,"yes","c(""Palm"", ""Carob"")"
"173","6026","5745","None",2019-11-06,0,0.6,5,0,2,"yes","c(""Carob"", ""Ficus sycomorus"", ""Palm"", ""Ficus religiosa"")"
"174","6242","5745","None",2019-11-06,0,0,4,0,2,"yes","c(""Carob"", ""Palm"")"
"175","5667","5745","None",2019-11-06,0,0.62,8,0,1,"yes","Ficus religiosa"
"176","6265","5745","None",2019-11-06,0,0,4,0,1,"yes","Palm"
"177","5761","5745","unknown_3242",2019-12-09,0,0.17,6,0,1,"yes","Ficus religiosa"
"178","5778","5745","Mulberry_562",2019-12-16,0,0.18,11,0,1,"yes","Palm"
"179","5731","5746","None",2019-03-16,0,0,1,0,1,"no","Palm"
"180","5782","5747","Citrus_2",2019-03-27,0,0.5,2,0,1,"yes","Carob"
"181","5764","5748","Mulberry_755",2019-09-07,0,0.6,5,0,1,"yes","Ficus religiosa"
"182","5745","5748","None",2019-09-26,0,0,4,0,2,"yes","c(""Ficus religiosa"", ""Palm"")"
"183","5685","5748","Mulberry_378",2019-09-25,0.67,0,5,2,3,"yes","c(""Palm"", ""Ficus religiosa"", ""Carob"")"
"184","6181","5749","Loquat_443",2019-11-06,0,0.25,4,0,2,"yes","c(""Palm"", ""Ficus religiosa"")"
"185","5781","5749","Loquat_443",2019-11-06,0,0.5,4,0,1,"yes","c(""Ficus sycomorus"", ""Ficus religiosa"")"
"186","6265","5749","None",2019-11-18,0,0,2,0,1,"yes","Ficus religiosa"
"187","5748","5751","None",2019-09-09,0,0.8,5,0,1,"yes","c(""Carob"", ""Palm"")"
"188","5743","5751","None",2019-10-02,0,0,4,0,1,"yes","c(""Ficus religiosa"", ""Carob"")"
