"","TAGA","TAGB","MeetingTree","MeetingDate","prop_A_vis_B","prop_A_first","n_shared_trees","n_shared_new_trees","A_future_trees","min_nights","A_future_species"
"274","5778","5761","None",2019-11-07,0,0.5,4,0,5,"yes","c(""Palm"", ""Ficus religiosa"")"
"275","5744","5761","None",2019-11-11,0,0.57,7,0,2,"yes","c(""Ficus religiosa"", ""Palm"")"
"276","5703","5763","None",2019-04-10,0,1,2,0,1,"yes","Palm"
"277","5747","5763","Citrus_2",2019-04-13,0,1,1,0,2,"yes","Carob"
"278","5734","5764","Citrus_5",2019-04-20,0,0,1,0,1,"yes","Carob"
"279","5727","5764","Mulberry_725",2019-06-02,0,0,2,0,1,"yes","Ficus microcarpa"
"280","5742","5764","Ficus religiosa_20",2019-07-04,0.5,0,5,1,2,"yes","c(""Palm"", ""Ficus religiosa"")"
"281","5751","5764","Ficus religiosa_19",2019-09-08,0,0.07,14,0,1,"yes","c(""Ficus religiosa"", ""Palm"")"
"282","5745","5764","Mulberry_725",2019-09-08,0,0.12,17,0,1,"yes","Palm"
"283","5748","5764","Mulberry_755",2019-09-07,0,0.4,5,0,2,"yes","c(""Carob"", ""Palm"")"
"284","5743","5764","None",2019-09-23,0,0.33,3,0,1,"yes","c(""Ficus religiosa"", ""Carob"")"
"285","5685","5764","None",2019-09-24,0,0.2,10,0,4,"yes","c(""Palm"", ""Ficus religiosa"", ""Carob"")"
"286","5782","5769","Citrus_2",2019-03-27,0,0.5,2,0,1,"yes","Carob"
"287","5703","5769","Citrus_2",2019-03-28,0,0,3,0,1,"yes","Palm"
"288","5751","5770","None",2019-11-07,1,1,2,1,1,"no","Palm"
"289","6242","5770","Palm_319",2019-11-07,0,1,2,0,1,"no","c(""Carob"", ""Palm"")"
"290","6265","5770","None",2019-11-08,0,0,3,0,1,"no","Palm"
"291","5778","5770","None",2019-11-07,0.2,0.5,2,1,5,"no","c(""Palm"", ""Ficus religiosa"")"
"292","6246","5770","None",2019-11-09,0,0,3,0,3,"no","Ficus religiosa"
"293","5744","5770","None",2019-12-03,0,0,2,0,5,"no","c(""Carob"", ""Palm"", ""Ficus religiosa"")"
"294","6181","5771","None",2019-11-07,0,0.5,2,0,1,"yes","c(""Palm"", ""Ficus religiosa"")"
"295","5781","5771","unknown_1432",2019-11-07,0,1,2,0,3,"yes","c(""Ficus sycomorus"", ""Ficus religiosa"", ""Palm"", ""Ficus microcarpa"")"
"296","5667","5771","None",2019-12-06,0,0,1,0,1,"yes","Palm"
"297","6267","5771","None",2019-11-25,0,0,2,0,2,"yes","Ficus microcarpa"
"298","6265","5771","unknown_1433",2019-11-07,0,0.5,4,0,1,"yes","Palm"
"299","5778","5771","None",2019-12-11,0,0,1,0,2,"yes","Palm"
"300","5744","5771","None",2019-11-06,0,0.5,2,0,2,"yes","Ficus religiosa"
"301","5779","5777","None",2019-06-09,0,0,1,0,1,"yes","c(""Ficus microcarpa"", ""Ficus religiosa"")"
"302","6125","5777","None",2019-06-30,0,0,1,0,2,"yes","c(""Palm"", ""Ficus religiosa"")"
"303","6123","5777","None",2019-07-12,0,0,1,0,1,"yes","Ficus religiosa"
"304","5742","5777","None",2019-06-26,0,0,4,0,1,"yes","Ficus religiosa"
"305","5737","5777","Mulberry_655",2019-06-28,1,0,3,1,1,"yes","Ficus religiosa"
"306","5770","5778","None",2019-11-07,0,0.5,2,0,1,"yes","c(""Palm"", ""Carob"")"
"307","6245","5778","None",2019-11-06,0,0.33,3,0,1,"yes","Ficus sycomorus"
"308","6026","5778","unknown_91",2019-11-13,0,0.75,4,0,1,"yes","c(""Ficus sycomorus"", ""Palm"")"
"309","6242","5778","Ficus carica_671",2019-11-06,0,0.8,5,0,3,"yes","c(""Carob"", ""Palm"")"
"310","5667","5778","unknown_91",2019-11-20,0,0.5,4,0,4,"yes","c(""Ficus religiosa"", ""Palm"")"
"311","6265","5778","None",2019-11-06,0,0.86,7,0,1,"yes","Palm"
"312","6251","5778","None",2019-11-28,0,0,1,0,1,"yes","c(""Ficus religiosa"", ""Ficus microcarpa"")"
"313","6246","5778","Ficus carica_414",2019-11-14,0.33,0.56,9,2,6,"yes","c(""Ficus religiosa"", ""Palm"", ""Ficus microcarpa"")"
"314","5744","5778","None",2019-11-09,0,0.67,9,0,1,"yes","c(""Ficus religiosa"", ""Palm"")"
"315","5764","5779","None",2019-09-15,0,0,3,0,1,"yes","Ficus religiosa"
"316","5777","5779","None",2019-06-09,1,1,1,1,1,"yes","Ficus microcarpa"
"317","5749","5781","Loquat_443",2019-11-06,0,0.5,4,0,2,"yes","c(""Carob"", ""Ficus religiosa"")"
"318","6250","5781","unknown_1431",2019-11-08,0,0.33,3,0,1,"yes","Palm"
"319","6267","5781","Mulberry_288",2019-11-11,0,0.2,5,0,2,"yes","Ficus microcarpa"
"320","6265","5781","None",2019-11-16,0.5,0,2,1,2,"yes","Ficus religiosa"
