"","TAGA","TAGB","MeetingTree","MeetingDate","prop_A_vis_B","prop_A_first","n_shared_trees","n_shared_new_trees","A_future_trees","min_nights","A_future_species"
"168","5597","5458","None",2018-11-23,0,1,3,0,40,"no","c(""UK"", ""Plum"", ""Washingtonia"", ""Melia azedarach"", ""Ficus carica"", ""Mulberry"", ""Persimmon"", ""Palm"", ""Loquat"", ""Ficus religiosa"", ""Cherry plum"", ""Citrus"")"
"169","5486","5458","None",2018-12-07,0,0,1,0,16,"no","c(""UK"", ""Plum"", ""Ficus carica"", ""Washingtonia"", ""Ficus religiosa"", ""Har Gershom"", ""Palm"", ""Einan"")"
"170","5056","5458","None",2018-11-25,0,0,2,0,10,"no","c(""UK"", ""Jujube"", ""Melia azedarach"", ""Mulberry"", ""Loquat"", ""Ficus carica"", ""Palm"", ""Plum"")"
"171","5477","5458","None",2018-11-24,0,1,1,0,26,"no","c(""Cherry plum"", ""Mulberry"", ""Persimmon"", ""Washingtonia"", ""UK"", ""Ficus carica"", ""Melia azedarach"", ""Plum"", ""Palm"", ""Avocado"", ""Ziziphus spina-christi"")"
"172","5483","5458","Melia azedarach_437",2018-11-23,0.17,0.33,6,3,18,"no","c(""Mulberry"", ""UK"", ""Melia azedarach"", ""Plum"", ""Persimmon"", ""Washingtonia"", ""Ficus carica"", ""Ficus religiosa"", ""Cherry plum"", ""Palm"")"
"173","5425","5458","None",2018-11-25,0.07,0,3,1,14,"no","c(""UK"", ""Loquat"", ""Plum"", ""Mulberry"", ""Melia azedarach"", ""Ficus religiosa"", ""Persimmon"", ""Palm"", ""Ficus carica"", ""Washingtonia"", ""Cherry plum"")"
"174","5476","5458","None",2018-12-04,0,0,1,0,7,"no","c(""Loquat"", ""Melia azedarach"", ""Palm"", ""UK"", ""Mulberry"", ""Washingtonia"")"
"175","5589","5458","Melia azedarach_437",2018-11-23,0.08,0.33,3,1,13,"no","c(""Mulberry"", ""Melia azedarach"", ""Washingtonia"", ""Ficus carica"", ""UK"", ""Palm"")"
"176","5458","5462","None",2018-11-23,0.07,0.67,3,1,15,"yes","c(""UK"", ""Plum"", ""Cherry plum"", ""Mulberry"", ""Melia azedarach"", ""Jujube"", ""Ficus carica"", ""Washingtonia"", ""Palm"")"
"177","5473","5462","Ficus religiosa_19",2018-11-24,0,0.5,4,0,31,"yes","c(""Ficus carica"", ""UK"", ""Washingtonia"", ""Mulberry"", ""Peach"", ""Ficus religiosa"", ""Persimmon"", ""Melia azedarach"", ""Plum"", ""Loquat"", ""Palm"")"
"178","5597","5462","Melia azedarach_640",2018-11-30,0,0.75,4,0,5,"yes","c(""Mulberry"", ""Ficus carica"", ""Melia azedarach"", ""Plum"", ""UK"", ""Citrus"", ""Ficus religiosa"", ""Ficus sycomorus"")"
"179","5486","5462","1",2018-11-27,0,0.5,2,0,18,"yes","c(""Har Gershom"", ""UK"", ""Melia azedarach"", ""Washingtonia"", ""Ficus carica"", ""Mulberry"", ""Avocado"", ""Palm"", ""Loquat"")"
"180","5056","5462","Melia azedarach_437",2018-11-25,0.1,0.33,3,1,10,"yes","c(""UK"", ""Jujube"", ""Melia azedarach"", ""Mulberry"", ""Loquat"", ""Ficus carica"", ""Palm"", ""Plum"")"
"181","5480","5462","None",2018-11-24,0,1,1,0,17,"no","c(""UK"", ""Loquat"", ""Ficus religiosa"", ""Washingtonia"", ""Palm"", ""Plum"", ""Melia azedarach"", ""Ficus carica"", ""Mulberry"")"
"182","5483","5462","None",2018-11-23,0.06,0.75,4,1,18,"yes","c(""Mulberry"", ""UK"", ""Melia azedarach"", ""Plum"", ""Persimmon"", ""Washingtonia"", ""Ficus carica"", ""Ficus religiosa"", ""Cherry plum"", ""Palm"")"
"183","5425","5462","Melia azedarach_437",2018-11-25,0,0.25,4,0,14,"yes","c(""UK"", ""Loquat"", ""Plum"", ""Mulberry"", ""Melia azedarach"", ""Ficus religiosa"", ""Persimmon"", ""Palm"", ""Ficus carica"", ""Washingtonia"", ""Cherry plum"")"
"184","5476","5462","None",2018-11-25,0.04,0.33,3,1,25,"yes","c(""UK"", ""Carob"", ""Ceratonia siliqua"", ""Loquat"", ""Ficus religiosa"", ""Washingtonia"", ""Plum"", ""Mulberry"", ""Palm"", ""Ficus carica"", ""Persimmon"", ""Jujube"", ""Melia azedarach"")"
"185","5589","5462","Melia azedarach_437",2018-11-23,0.15,0.2,5,2,13,"yes","c(""Mulberry"", ""Melia azedarach"", ""Washingtonia"", ""Ficus carica"", ""UK"", ""Palm"")"
"186","5479","5471","Ficus carica_673",2018-11-22,0,1,1,0,3,"yes","c(""Ficus carica"", ""Cherry plum"", ""Mulberry"", ""UK"", ""Melia azedarach"", ""Palm"")"
"187","5486","5471","None",2018-11-29,0,0,1,0,16,"yes","c(""Har Gershom"", ""Ficus carica"", ""UK"", ""Washingtonia"", ""Mulberry"", ""Avocado"", ""Palm"", ""Melia azedarach"", ""Loquat"", ""Einan"")"
"188","5056","5471","None",2018-11-25,0,0.5,2,0,10,"no","c(""UK"", ""Jujube"", ""Melia azedarach"", ""Mulberry"", ""Loquat"", ""Ficus carica"", ""Palm"", ""Plum"")"
"189","5476","5471","None",2018-11-25,0,0.25,4,0,25,"yes","c(""UK"", ""Carob"", ""Ceratonia siliqua"", ""Loquat"", ""Ficus religiosa"", ""Washingtonia"", ""Plum"", ""Mulberry"", ""Palm"", ""Ficus carica"", ""Persimmon"", ""Jujube"", ""Melia azedarach"")"
"190","5589","5471","Ficus carica_673",2018-11-24,0,0,1,0,10,"yes","c(""Ficus carica"", ""Melia azedarach"", ""Mulberry"", ""UK"", ""Washingtonia"", ""Palm"")"
"191","5458","5473","Washingtonia_333",2018-11-23,0,0.6,5,0,15,"yes","c(""UK"", ""Plum"", ""Cherry plum"", ""Mulberry"", ""Melia azedarach"", ""Jujube"", ""Ficus carica"", ""Washingtonia"", ""Palm"")"
"192","5462","5473","Ficus religiosa_19",2018-11-24,0.03,0.5,4,1,35,"yes","c(""Palm"", ""Plum"", ""UK"", ""Ficus religiosa"", ""Melia azedarach"", ""Ficus carica"", ""Mulberry"", ""Persimmon"", ""Har Gershom"", ""Washingtonia"", ""Carob"")"
