TAG,duration,num_loc,position_qlt,dummy,medX,medY,night_number,time_start,time_end,month,X_tree,Y_tree,tree_sp,cluster_ID,TAG_Night,date_global,Number_of_Nights,cave_origin
5150,15,188,0.409607028,no,256085.4903,785271.347,4,19:48:04,20:03:22,7,256109,785255,Ficus sycomorus,Ficus sycomorus_3,5150_4,2018-07-21,18,Har Gershom
5150,14,133,0.313695152,no,256106.6692,785271.98,4,18:31:22,18:45:30,7,256109,785255,Ficus sycomorus,Ficus sycomorus_3,5150_4,2018-07-21,18,Har Gershom
5150,4,18,0.142864513,no,256055.9029,785239.5919,4,18:25:46,18:29:58,7,256032,785251,Ficus carica,Ficus carica_512,5150_4,2018-07-21,18,Har Gershom
5154,3,22,0.222230079,no,256104.1454,785256.7093,4,21:52:52,21:56:10,7,256109,785255,Ficus sycomorus,Ficus sycomorus_3,5154_4,2018-07-21,15,
5154,2,28,0.437517091,no,256147.5101,785264.7803,4,21:49:06,21:51:14,7,256154,785272,Mulberry,Mulberry_494,5154_4,2018-07-21,15,
5150,21,483,0.782860065,no,256066.0232,785247.124,4,19:06:18,19:26:52,7,256032,785251,Ficus carica,Ficus carica_512,5150_4,2018-07-21,18,Har Gershom
5150,8,226,0.915027916,no,256029.5504,785216.0805,4,20:06:56,20:15:10,7,256015,785234,Mulberry,Mulberry_505,5150_4,2018-07-21,18,Har Gershom
5150,13,217,0.542527805,no,256054.7301,785233.3977,4,18:46:32,18:59:52,7,256032,785251,Ficus carica,Ficus carica_512,5150_4,2018-07-21,18,Har Gershom
5150,11,211,0.615191737,no,256023.6183,785211.6213,4,19:29:20,19:40:46,7,256015,785234,Mulberry,Mulberry_505,5150_4,2018-07-21,18,Har Gershom
5154,7,97,0.455415097,no,256123.7884,785268.3479,4,00:37:11,00:44:17,7,256109,785255,Ficus sycomorus,Ficus sycomorus_3,5154_4,2018-07-21,15,
5154,2,50,0.980420993,no,256150.9872,785263.1367,5,23:43:39,23:45:21,7,256154,785272,Mulberry,Mulberry_494,5154_5,2018-07-22,15,
5154,0,7,0.875054691,no,256193.4567,785302.9056,5,23:31:57,23:32:13,7,256164,785283,Apple,Apple_33,5154_5,2018-07-22,15,
5154,9,175,0.648170954,no,256116.8076,785265.5981,5,23:33:37,23:42:37,7,256109,785255,Ficus sycomorus,Ficus sycomorus_3,5154_5,2018-07-22,15,
5154,4,37,0.349069776,no,256096.7689,785252.7309,5,23:54:07,23:57:39,7,256109,785255,Ficus sycomorus,Ficus sycomorus_3,5154_5,2018-07-22,15,
5150,14,250,0.574743032,no,256091.5669,785253.4359,5,23:11:49,23:26:19,7,256109,785255,Ficus sycomorus,Ficus sycomorus_3,5150_5,2018-07-22,18,Har Gershom
5150,11,129,0.393313068,no,256121.3961,785245.6172,5,20:30:57,20:41:53,7,256109,785255,Ficus sycomorus,Ficus sycomorus_3,5150_5,2018-07-22,18,Har Gershom
5154,3,48,0.58538727,no,256150.513,785289.0202,5,23:28:03,23:30:47,7,256164,785283,Apple,Apple_33,5154_5,2018-07-22,15,
