"TAG","duration","num_loc","position_qlt","dummy","night_number","time_start","time_end","month","X_tree","Y_tree","tree_sp","cluster_ID","TAG_Night","date_global","Number_of_Nights","cave_origin","geometry","distance_to_ficus"
5749,2,6,0.375011719,"no",2,"16:59:04","17:01:12",11,256132,785266,"Surinam Cherry","Surinam Cherry_56","5749_2","2019-11-06",7,"",c(256121.6242, 785256.9876),12.7797096758787
5781,1,4,1.000031251,"no",2,"21:28:31","21:29:03",11,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","5781_2","2019-11-06",14,"",c(256105.049, 785259.4874),5.97889285402074
5781,0,1,Inf,"no",2,"19:39:43","19:39:43",11,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","5781_2","2019-11-06",14,"",c(256095.3375, 785263.8707),16.2896661948498
5749,3,11,0.458347657,"no",2,"21:26:55","21:30:07",11,256115,785218,"Mulberry","Mulberry_493","5749_2","2019-11-06",7,"",c(256128.7611, 785248.1952),20.8999133072532
6181,17,22,0.169237116,"no",2,"16:59:02","17:16:22",11,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","6181_2","2019-11-06",12,"",c(256106.7908, 785267.1049),12.3048433005421
6181,24,59,0.33334581,"no",2,"20:04:13","20:27:49",11,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","6181_2","2019-11-06",12,"",c(256082.3209, 785260.8401),27.3108246821806
6263,2,5,0.312514649,"no",2,"17:28:19","17:30:27",11,256098,785213,"Melia azedarach","Melia azedarach_439","6263_2","2019-11-06",16,"",c(256100.3714, 785233.7394),22.9448436543278
6181,0,1,Inf,"no",2,"19:08:21","19:08:21",11,256132,785266,"Surinam Cherry","Surinam Cherry_56","6181_2","2019-11-06",12,"",c(256134.3864, 785259.5377),25.7887577492459
5781,11,50,0.632932423,"no",2,"18:19:36","18:30:08",11,256115,785218,"Mulberry","Mulberry_493","5781_2","2019-11-06",14,"",c(256133.8626, 785245.6398),26.5661857028737
5781,1,3,0.750023438,"no",2,"18:32:56","18:33:28",11,256098,785213,"Melia azedarach","Melia azedarach_439","5781_2","2019-11-06",14,"",c(256098.4819, 785241.9249),16.7806039110679
6246,2,8,0.666694446,"no",2,"00:09:10","00:10:46",11,256115,785218,"Mulberry","Mulberry_493","6246_2","2019-11-06",54,"",c(256134.1963, 785239.3246),29.6744283660012
5749,3,10,0.52632964,"no",2,"00:56:39","00:59:11",11,256132,785266,"Surinam Cherry","Surinam Cherry_56","5749_2","2019-11-06",7,"",c(256135.9654, 785262.5756),28.009329026576
5749,16,75,0.609773449,"no",2,"00:25:03","00:41:27",11,256132,785266,"Surinam Cherry","Surinam Cherry_56","5749_2","2019-11-06",7,"",c(256120.6542, 785265.367),15.5979186636913
5749,16,109,0.931649811,"no",2,"22:34:23","22:49:59",11,256132,785266,"Surinam Cherry","Surinam Cherry_56","5749_2","2019-11-06",7,"",c(256127.6939, 785253.0987),18.7903389777988
6265,0,2,2,"no",3,"17:23:16","17:23:24",11,256098,785213,"Melia azedarach","Melia azedarach_439","6265_3","2019-11-07",43,"Einan",c(256091.9757, 785237.4246),24.4687857411988
5771,1,4,1.000031251,"no",3,"21:50:53","21:51:25",11,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","5771_3","2019-11-07",10,"Har Gershom",c(256101.8468, 785274.6485),20.9100890120155
5781,6,32,0.695674859,"no",3,"17:42:21","17:48:29",11,256132,785266,"Surinam Cherry","Surinam Cherry_56","5781_3","2019-11-07",14,"Zemer cave",c(256130.5349, 785275.6474),29.8339914321
6181,4,18,0.642880103,"no",3,"17:36:51","17:40:35",11,256118,785292,"Mulberry","Mulberry_495","6181_3","2019-11-07",12,"Zemer cave",c(256120.365, 785282.5974),29.845932918207
6181,9,54,0.818212811,"no",3,"16:41:47","16:50:35",11,256118,785292,"Mulberry","Mulberry_495","6181_3","2019-11-07",12,"Zemer cave",c(256111.0455, 785273.9616),19.0716109652934
6181,1,11,1.100041252,"no",3,"16:51:55","16:53:15",11,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","6181_3","2019-11-07",12,"Zemer cave",c(256095.8139, 785260.6708),14.3537871605151
6181,5,22,0.578970223,"no",3,"17:22:19","17:27:23",11,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","6181_3","2019-11-07",12,"Zemer cave",c(256110.6244, 785267.3778),12.4839340033666
6181,1,3,0.428586735,"no",3,"22:45:46","22:46:42",11,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","6181_3","2019-11-07",12,"Zemer cave",c(256105.2739, 785261.5773),7.55941112124865
6251,1,3,0.375017579,"no",3,"18:32:34","18:33:38",11,256102.5239,785272.1915,"UK","B_6251_293","6251_3","2019-11-07",49,"",c(256102.5239, 785272.1915),18.3708340436281
6263,4,22,0.70971176,"no",3,"17:57:50","18:01:58",11,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","6263_3","2019-11-07",16,"",c(256120.2484, 785256.045),11.2968370600068
5781,26,132,0.680435608,"no",3,"19:02:45","19:28:37",11,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","5781_3","2019-11-07",14,"Zemer cave",c(256120.7863, 785257.5586),12.0608167903385
6263,3,21,0.840042002,"no",3,"18:03:10","18:06:30",11,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","6263_3","2019-11-07",16,"",c(256101.0603, 785247.0384),11.2439277234616
6263,4,33,1.000049245,"no",3,"18:22:14","18:26:38",11,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","6263_3","2019-11-07",16,"",c(256101.0344, 785239.5787),17.3570526602686
6263,9,55,0.859418642,"no",3,"18:35:34","18:44:06",11,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","6263_3","2019-11-07",16,"",c(256105.6438, 785239.4254),15.9321135949266
6263,1,4,0.800040002,"no",3,"17:51:02","17:51:42",11,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","6263_3","2019-11-07",16,"",c(256115.142, 785243.3483),13.1714189399235
6245,0,1,Inf,"no",3,"21:53:21","21:53:21",11,256098,785213,"Melia azedarach","Melia azedarach_439","6245_3","2019-11-07",7,"Zemer cave",c(256096.9927, 785231.9973),25.9480145787266
6263,6,27,0.627939834,"no",3,"18:15:18","18:21:02",11,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","6263_3","2019-11-07",16,"",c(256097.2211, 785231.3439),26.4263798584133
6263,0,1,Inf,"no",3,"17:41:58","17:41:58",11,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","6263_3","2019-11-07",16,"",c(256098.4947, 785239.7768),18.4961386870346
6246,7,10,0.185192902,"no",3,"21:21:47","21:28:59",11,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","6246_3","2019-11-07",54,"Har Gershom",c(256123.4115, 785247.6599),16.1730764006136
6263,17,56,0.437522645,"no",3,"18:48:38","19:05:42",11,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","6263_3","2019-11-07",16,"",c(256097.3636, 785241.9079),17.5159609319605
6263,2,16,1.00005469,"no",3,"18:08:30","18:10:38",11,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","6263_3","2019-11-07",16,"",c(256100.579, 785235.4209),21.3132446569967
5781,4,8,0.258072841,"no",3,"17:37:01","17:41:09",11,256132,785266,"Surinam Cherry","Surinam Cherry_56","5781_3","2019-11-07",14,"Zemer cave",c(256101.5969, 785265.6663),12.9836761088996
6263,1,5,0.833368057,"no",3,"17:44:38","17:45:26",11,256132,785266,"Surinam Cherry","Surinam Cherry_56","6263_3","2019-11-07",16,"",c(256133.1829, 785252.9587),24.2689010484789
5749,4,13,0.419366676,"no",3,"16:45:25","16:49:33",11,256132,785266,"Surinam Cherry","Surinam Cherry_56","5749_3","2019-11-07",7,"Zemer cave",c(256121.351, 785254.8298),12.3521726445147
6271,0,1,Inf,"no",4,"17:52:58","17:52:58",11,256132,785266,"Surinam Cherry","Surinam Cherry_56","6271_4","2019-11-08",49,"Zemer cave",c(256131.9235, 785264.1219),24.671763452593
6263,27,127,0.622580683,"no",4,"16:27:06","16:54:18",11,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","6263_4","2019-11-08",16,"",c(256093.691, 785239.7705),21.5940536085919
6263,11,58,0.725037385,"no",4,"17:01:14","17:11:54",11,256098,785213,"Melia azedarach","Melia azedarach_439","6263_4","2019-11-08",16,"",c(256097.7391, 785236.8406),21.3675379295325
6263,1,9,1.000055559,"no",4,"17:45:30","17:46:42",11,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","6263_4","2019-11-08",16,"",c(256118.279, 785253.21),9.45007624309511
6263,15,77,0.69372963,"no",4,"17:16:34","17:31:22",11,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","6263_4","2019-11-08",16,"",c(256101.2278, 785246.0367),11.8637194727925
6263,3,15,0.652205814,"no",4,"17:52:50","17:55:54",11,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","6263_4","2019-11-08",16,"",c(256110.8696, 785242.9108),12.2329130137154
6265,0,1,Inf,"no",4,"17:29:36","17:29:36",11,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","6265_4","2019-11-08",43,"Zemer cave",c(256090.3815, 785238.8663),24.6362500787074
6267,0,1,Inf,"no",4,"17:00:25","17:00:25",11,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","6267_4","2019-11-08",33,"Zemer cave",c(256111.6536, 785246.6261),8.78429246838069
6271,1,3,0.428586735,"no",4,"16:52:26","16:53:22",11,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","6271_4","2019-11-08",49,"Zemer cave",c(256103.5704, 785248.9907),8.09890379313434
6271,0,2,1,"no",4,"19:16:02","19:16:18",11,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","6271_4","2019-11-08",49,"Zemer cave",c(256105.611, 785256.793),3.8340800721659
6181,1,9,1.000041668,"no",4,"00:46:06","00:47:18",11,256086.7657,785267.6451,"UK","B_6181_77","6181_4","2019-11-08",12,"Zemer cave",c(256086.7657, 785267.6451),25.5785584132415
5781,6,34,0.723429268,"no",4,"16:52:26","16:58:42",11,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","5781_4","2019-11-08",14,"",c(256115.8517, 785248.0564),9.75496662474924
5781,7,34,0.693900563,"no",4,"17:14:10","17:20:42",11,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","5781_4","2019-11-08",14,"",c(256112.5917, 785252.1265),4.5997077233073
5781,2,11,0.647082613,"no",4,"17:25:14","17:27:30",11,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","5781_4","2019-11-08",14,"",c(256108.7128, 785243.5807),11.4229110269171
5781,0,2,2.000250031,"no",4,"16:59:54","17:00:02",11,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","5781_4","2019-11-08",14,"",c(256114.8697, 785247.3802),9.61845778334053
5781,1,10,1.111141976,"no",4,"17:35:22","17:36:34",11,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","5781_4","2019-11-08",14,"",c(256104.8293, 785253.7584),4.35158695762536
5781,4,18,0.620708383,"no",4,"17:30:18","17:34:10",11,256132,785266,"Surinam Cherry","Surinam Cherry_56","5781_4","2019-11-08",14,"",c(256134.7546, 785260.5479),26.3453718054864
6263,0,2,2,"no",4,"17:41:30","17:41:38",11,256132,785266,"Surinam Cherry","Surinam Cherry_56","6263_4","2019-11-08",16,"",c(256132.0557, 785256.3648),23.0960598702423
6251,0,2,2,"no",5,"16:28:51","16:28:59",11,256132,785266,"Surinam Cherry","Surinam Cherry_56","6251_5","2019-11-09",49,"",c(256123.8349, 785262.5112),16.6280601228425
6258,1,2,0.28572449,"no",5,"16:20:38","16:21:34",11,256132,785266,"Surinam Cherry","Surinam Cherry_56","6258_5","2019-11-09",11,"",c(256120.1472, 785274.6313),22.575384991855
6263,8,23,0.389850331,"no",5,"16:49:10","16:57:02",11,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","6263_5","2019-11-09",16,"Zemer cave",c(256124.2079, 785248.0727),16.7113047874784
